whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
866,stim,apte,30771,1,IV,unique-slp1
867,stu,mw,254632,1,II,slp1-shared
867,stu,apte,30775,1,II,slp1-shared
868,stu,mw,254632,1,II,slp1-shared
868,stu,apte,30775,1,II,slp1-shared
869,stuB,mw,254799,1,I,unique-slp1
869,stuB,apte,30783,1,I,unique-slp1
870,stf,mw,254842,1,V|IX,unique-slp1
870,stf,apte,30788,1,V,unique-slp1
871,stfh,apte,30792,1,VI,unique-slp1
873,sTag,mw,255154,,I,unique-slp1
873,sTag,apte,30826,1,I,unique-slp1
874,sTA,mw,255316,1,I,unique-slp1
874,sTA,apte,30846,1,I,unique-slp1
875,snA,mw,256200,1,II|IV,unique-slp1
875,snA,apte,30904,1,II,unique-slp1
876,snih,mw,256298,1,I|IV|X,unique-slp1
876,snih,apte,30917,1,IV,unique-slp1
877,snu,mw,256456,1,II,unique-slp1
877,snu,apte,30921,1,II,unique-slp1
878,spand,mw,256488,,I,unique-slp1
879,spaS,mw,256550,1,,unique-slp1
879,spaS,apte,30953,1,I,unique-slp1
881,spf,mw,256588,1,V,unique-slp1
881,spf,apte,30957,1,V,unique-slp1
883,spfS,mw,256602,1,VI,unique-slp1
883,spfS,apte,30958,1,VI,unique-slp1
884,spfh,mw,256712,1,X,unique-slp1
884,spfh,apte,30965,1,X,unique-slp1
885,sPaw,apte,30974,1,I,unique-slp1
889,sPuw,mw,256860,,I|VI,unique-slp1
889,sPuw,apte,31002,1,I|VI|X,unique-slp1
890,sPur,mw,256968,1,VI,unique-slp1
890,sPur,apte,31013,1,VI,unique-slp1
893,smi,mw,257075,,I,unique-slp1
893,smi,apte,31049,1,I,unique-slp1
894,smf,mw,257112,2,I,unique-slp1
894,smf,apte,31055,1,I|V,unique-slp1
895,syand,mw,257403,,I,unique-slp1
896,sraMs,mw,257528,1,I,unique-slp1
896,sraMs,apte,31079,1,I,unique-slp1
897,sriD,apte,31101,1,I,unique-slp1
899,sru,mw,257621,,I,unique-slp1
899,sru,apte,31105,1,I,unique-slp1
900,svaj,mw,258776,,I,unique-slp1
901,svad,mw,258787,,I,unique-slp1
901,svad,apte,31132,1,I|X,unique-slp1
902,svan,mw,258909,1,I,unique-slp1
902,svan,apte,31137,1,I,unique-slp1
903,svap,mw,258948,1,II,unique-slp1
903,svap,apte,31142,1,I|II,unique-slp1
904,svar,apte,31148,1,X,unique-slp1
906,svid,mw,259802,2,I,unique-slp1
906,svid,apte,31210,1,I|IV,unique-slp1
907,had,mw,260291,,I,unique-slp1
907,had,apte,31248,1,I,unique-slp1
908,han,mw,260297,1,I|II,unique-slp1
908,han,apte,31251,1,II,unique-slp1
910,has,mw,262056,1,I,unique-slp1
910,has,apte,31330,1,I,unique-slp1
911,hA,apte,31352,1,III,slp1-shared
912,hA,apte,31352,1,III,slp1-shared
914,hi,mw,262717,1,V,unique-slp1
914,hi,apte,31398,1,V,unique-slp1
915,hiMs,mw,262731,1,I|VII|X,unique-slp1
915,hiMs,apte,31399,1,I|VII|X,unique-slp1
916,hikk,apte,31411,1,I|X,unique-slp1
918,hIq,mw,263406,,,unique-slp1
919,hu,mw,263443,1,III,unique-slp1
919,hu,apte,31462,1,III,unique-slp1
923,hf,mw,263626,1,I,class
923,hf,apte,31486,1,I|III,slp1-shared
924,hf,mw,263654,2,IX,class
924,hf,apte,31486,1,I|III,slp1-shared
925,hfz,mw,263915,,I|IV,unique-slp1
925,hfz,apte,31499,1,I|IV,unique-slp1
926,heW,apte,31506,1,I,unique-slp1
927,heq,apte,31508,1,I,unique-slp1
928,hez,mw,264415,1,I,unique-slp1
928,hez,apte,31536,1,I,unique-slp1
929,hnu,mw,264643,,II,unique-slp1
929,hnu,apte,31579,1,II,unique-slp1
930,hras,mw,264681,,I,unique-slp1
930,hras,apte,31592,1,I,unique-slp1
931,hrAd,mw,264747,,I,unique-slp1
931,hrAd,apte,31601,1,I,unique-slp1
932,hrI,mw,264772,1,III,unique-slp1
932,hrI,apte,31607,1,III,unique-slp1
934,hrez,mw,264815,,I,unique-slp1
934,hrez,apte,31617,1,I,unique-slp1
935,hlAd,mw,264827,,I,unique-slp1
935,hlAd,apte,31624,1,I,unique-slp1
936,hval,mw,264858,,I,unique-slp1
936,hval,apte,31630,1,I,unique-slp1
937,hvf,mw,264863,,I,unique-slp1
937,hvf,apte,31631,1,I,unique-slp1
