whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
70,fc,mw,38696,1,VI,unique-slp1
70,fc,apte,9424,1,VI,unique-slp1
72,fj,mw,38776,,I,unique-slp1
72,fj,apte,9435,1,I,unique-slp1
73,ft,mw,38911,,,unique-slp1
75,fD,mw,38930,,II|IV|V|VI|VII,unique-slp1
75,fD,apte,9479,1,IV|V|VII,unique-slp1
77,fz,apte,9496,1,I|VI,unique-slp1
78,ej,mw,39975,,I,unique-slp1
78,ej,apte,9538,1,I,unique-slp1
79,eD,mw,40096,,I,unique-slp1
79,eD,apte,9566,1,I,unique-slp1
80,katT,mw,42681,,I,unique-slp1
80,katT,apte,10158,1,I,unique-slp1
81,kaT,mw,42692,,X,unique-slp1
81,kaT,apte,10163,1,X,unique-slp1
82,kad,mw,42779,1,I,unique-slp1
83,kan,mw,42917,,I,unique-slp1
83,kan,apte,10195,1,I,unique-slp1
84,kam,mw,43768,2,I,unique-slp1
84,kam,apte,10289,1,I|X,unique-slp1
85,kamp,mw,43913,,I,unique-slp1
86,kal,apte,10456,1,I|X,unique-slp1
87,kaz,mw,46728,,I,unique-slp1
87,kaz,apte,10577,1,I|X,unique-slp1
88,kas,mw,46861,1,I,unique-slp1
88,kas,apte,10593,1,I|II,unique-slp1
90,kANkz,mw,47271,,I,unique-slp1
91,kAS,mw,49812,,I|IV,unique-slp1
91,kAS,apte,10856,1,I|IV,unique-slp1
92,kAs,mw,50091,1,I,unique-slp1
92,kAs,apte,10881,1,I,unique-slp1
93,ku,apte,10986,1,I|II|VI,unique-slp1
94,kuc,mw,51417,,I|VI,unique-slp1
94,kuc,apte,11004,1,I|VI,unique-slp1
95,kuYj,mw,51471,,I,unique-slp1
96,kuww,mw,51676,,X,unique-slp1
96,kuww,apte,11044,1,X,unique-slp1
98,kuT,mw,52041,,IV,unique-slp1
98,kuT,apte,11113,1,IV,unique-slp1
99,kup,mw,52181,1,IV,unique-slp1
99,kup,apte,11134,1,IV|X,unique-slp1
100,kuz,mw,53477,,VI|IX,unique-slp1
